epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,8182.34,1.28658,1.24582,1.25277,0.70321,0.59155,0.5801,0.21138,2.04272,2.11932,1.8506,0.0003962,0.0003962,0.0003962
83,8381.36,1.21359,1.18972,1.24792,0.6776,0.59204,0.58234,0.23341,1.96316,1.85839,1.83095,0.0003764,0.0003764,0.0003764
84,8578.52,1.32788,1.31958,1.28548,0.66613,0.61825,0.63138,0.26426,1.90637,1.96805,1.80515,0.0003566,0.0003566,0.0003566
85,8776.2,1.35949,1.34254,1.31848,0.55591,0.63473,0.60928,0.24786,1.95676,1.96483,1.85807,0.0003368,0.0003368,0.0003368
86,8974.29,1.34658,1.38804,1.30365,0.73803,0.67606,0.72164,0.31642,1.87169,1.70279,1.80312,0.000317,0.000317,0.000317
87,9172.65,1.26084,1.15306,1.24928,0.64902,0.57303,0.56873,0.23677,1.99999,2.06907,1.8866,0.0002972,0.0002972,0.0002972
88,9370.5,1.31656,1.20959,1.2506,0.81763,0.6338,0.68026,0.31923,1.90129,1.57744,1.81364,0.0002774,0.0002774,0.0002774
89,9569.51,1.21011,1.13002,1.20961,0.81587,0.62414,0.66909,0.32671,1.82799,1.58172,1.77247,0.0002576,0.0002576,0.0002576
90,9766.74,1.2612,1.17905,1.23722,0.74222,0.68941,0.73036,0.31049,1.84243,1.59251,1.75391,0.0002378,0.0002378,0.0002378
91,9962.97,1.22433,1.09213,1.28061,0.67743,0.68034,0.68882,0.2741,1.9087,1.69955,1.79734,0.000218,0.000218,0.000218
92,10159.8,1.05129,0.91619,1.13372,0.74807,0.74648,0.7525,0.31471,1.88623,1.55318,1.79847,0.0001982,0.0001982,0.0001982
93,10360.9,1.09773,1.09097,1.11744,0.81182,0.66845,0.72535,0.30696,1.92567,1.79773,1.84384,0.0001784,0.0001784,0.0001784
94,10569.1,1.02155,0.86207,1.10532,0.77845,0.66197,0.70848,0.3107,1.85535,1.69952,1.82509,0.0001586,0.0001586,0.0001586
95,10770.5,1.01016,0.87829,1.09576,0.76507,0.73239,0.71749,0.31815,1.84227,1.74109,1.76002,0.0001388,0.0001388,0.0001388
96,10975.1,1.11694,0.95071,1.17432,0.72301,0.69014,0.69932,0.29798,1.85264,1.6957,1.8072,0.000119,0.000119,0.000119
97,11170.6,1.0219,0.93556,1.1435,0.69994,0.72284,0.69191,0.2988,1.8199,1.67559,1.7949,9.92e-05,9.92e-05,9.92e-05
98,11366.4,1.0627,0.91306,1.13547,0.75996,0.67606,0.69864,0.31342,1.81919,1.64233,1.78761,7.94e-05,7.94e-05,7.94e-05
99,11563.5,1.03408,0.91732,1.06834,0.77698,0.63796,0.68867,0.30824,1.82414,1.61518,1.80236,5.96e-05,5.96e-05,5.96e-05
100,11761,1.08248,0.94603,1.10985,0.82247,0.61972,0.71175,0.32329,1.8234,1.56632,1.79931,3.98e-05,3.98e-05,3.98e-05
